Penjual,Kota Toko,Nama Produk,Harga Produk,Jumlah Terjual,Rating Produk
The Little Snacks,Tangerang Selatan,Seblak Putih Pedas / Kerupuk Bawang Pedas Odjolali Oleh Oleh Bsndung,9000.0,1000.0,4.9
Rasa Juara Indonesia,Bandung,Seblak Juara ! Seblak Instan Rasa Original,115000.0,2000.0,4.9
lisdhacollection,Kab. Garut,Seblak Komplit⠀⠀,5500.0,1000.0,4.8
Welly Mart,Tangerang Selatan,"Seblak Instant ""mBak'Well""",15000.0,100.0,5.0
LarisManis shopp,Kab. Bandung,Paket Seblak Komplit Instan Pedas Gurih Cobek Kerupuk Mawar Viral,15000.0,0.0,0.0
Official Kartika Sari,Bandung,Mie Seblak Geprek Sami Raos,27500.0,60.0,4.9
the Dhecip,Tangerang Selatan,Seblak Instan Pedas Home Made,3500.0,1000.0,4.8
hikmah berkah jaya,Jakarta Barat,seblak instant sajodo snak,19000.0,750.0,4.8
emmoshop,Kab. Bogor,Mommy Seblak Basah Instant 100gr,10000.0,2000.0,4.9
Pusat Cuankie & Cemilan Frozen,Jakarta Timur,SEBLAK INSTANT TERMURAH,3999.0,10000.0,4.8
Berkahrr,Bekasi,seblak mamang Rafael versi kering,12000.0,10.0,0.0
Anggris store,Kab. Bogor,Kerupuk Seblak / Seblak / Kering Pedas /,10000.0,40.0,4.8
Agen Snack Murah,Jakarta Barat,KRUPUK JABLAY PEDAS 500Gram/KRUPUK SEBLAK/SEBLAK KERING/SNACK KILOAN,22999.0,40.0,4.9
BociKakang,Jakarta Selatan,SEBLAK KERING PEDAS DAUN JERUK,4500.0,500.0,4.6
yumnaa snack,Kab. Bekasi,kerupuk seblak kencur / kerupuk seblak kering - 250gram,12000.0,30.0,4.9
the Dhecip,Tangerang Selatan,Seblak Instan Pedas Home Made,3500.0,1000.0,4.8
hikmah berkah jaya,Jakarta Barat,seblak instant sajodo snak,19000.0,750.0,4.8
emmoshop,Kab. Bogor,Mommy Seblak Basah Instant 100gr,10000.0,2000.0,4.9
Pusat Cuankie & Cemilan Frozen,Jakarta Timur,SEBLAK INSTANT TERMURAH,3999.0,10000.0,4.8
Aliya28,Tangerang Selatan,Seblak/Cuanki/Baso aci/Batagor kuah (instan) 1porsi. toping lengkap,7500.0,100.0,5.0
vieka mart official,Tangerang Selatan,Seblak ala Kang Rafael | Seblak Viral | Seblak Cobek,9216.0,250.0,5.0
TokokelontongSejahtera,Jakarta Barat,KERUPUK SEBLAK VIRAL RAFAEL (MENTAH) 250GR,17500.0,28.0,5.0
arzy sembako,Kab. Bogor,kerupuk seblak rafael 500gram,13800.0,30.0,5.0
Toko NRV Plastik dan Bahan Kue,Bandung,Kerupuk Aci Mawar | Kerupuk Mawar Putih | Seblak Rafael Viral | 250gr,7999.0,100.0,5.0
babykhai,Jakarta Timur,seblak rafael / seblak coet / seblak cocol,7500.0,100.0,4.9
the Dhecip,Tangerang Selatan,Seblak Instan Pedas Home Made,3500.0,1000.0,4.8
Baso Aci Ayang,Kab. Garut,Seblak Instan Komplit Pedas Gurih Nikmat,5999.0,2000.0,4.9
BociKakang,Jakarta Selatan,SEBLAK KERING PEDAS DAUN JERUK,4500.0,500.0,4.6
Aydaa Snack,Surakarta,SEBRING KRUPUK KERUPUK SEBLAK KERING PEDAS DAUN JERUK 1KG CABE ASLI,16000.0,40.0,4.9
RIKI STORE 97,Kab. Bogor,Seblak pedas kerupuk pedas kiloan 1 kg,34000.0,70.0,4.8
Snackzone PP,Jakarta Pusat,Keripik Seblak Pedas Putih,18000.0,30.0,5.0
kylafood,Bandung,"Kylafood Paket ( Seblak Original, Batagor, Cireng Rujak, Boci Goang)",67340.0,500.0,4.9
DEEVANA_CAHAYA,Bekasi,KERUPUK SEBLAK PEDAS GURIH MANTUL,5200.0,0.0,0.0
Welly Mart,Tangerang Selatan,"[OYI] Seblak Instant ""mBak'Well"" Rasa Mantap Bikin Nagih",15000.0,2.0,0.0
Rempah Bu Risma,Kab. Bekasi,KERUPUK MENTAH BULAT PUTIH KERUPUK IKAN KERUPUK SEBLAK 1 KG,9000.0,19.0,5.0
Pempek Emak Indah,Jakarta Barat,SEBLAK INSTANT HALU - SEBLAK MIE HALU - EMAK INDAH FOOD,19999.0,250.0,4.7
omiyago,Jakarta Barat,Omiyago Snack Kerupuk Seblak,4000.0,24.0,4.8
Ss_Frozenfood,Jakarta Timur,SEBLAK BAPPER INSTAN EXTRA HOT,15900.0,100.0,4.9
RIKI STORE 97,Kab. Bogor,SABRING KERUPUK SEBLAK PEDAS,3000.0,30.0,5.0
Tukangsayurmbakyu,Tangerang Selatan,kerupuk bawang orange - kerupuk seblak 250gr,7500.0,100.0,4.9
FIRMAN TEGAR ADI GUNA,Kab. Bandung,Seblak Kering Kurupuk Extra Pedas 1Kg Super Renyah&Gurih Asli Bandung ,5000.0,6.0,4.7
bawang putih tjap harian,Bandung,Paket Seblak Tjap Harian,10500.0,250.0,4.9
gaiagarut,Kab. Garut,Siomay Cuanki Kering Isi 25pcs Toping Seblak dan Baso Aci Garut,7599.0,100.0,4.9
gaiagarut,Kab. Garut,siomay mini GURILEM EKONOMIS 50gram Toping Baso Aci Cuanki Seblak,1710.0,6.0,4.5
AUFARO SNACK,Kab. Bandung Barat,seblak instant komplit bumbu cikruh bandung aufaro snack,6400.0,250.0,4.9
lahawelah,Kab. Garut,GURILEM MINI isi 100gr Siomay Kering Toping Baso Aci Cuanki Seblak,3959.0,50.0,5.0
RN FROZEN FOOD,Jakarta Selatan,Seblak Instan,10500.0,50.0,4.9
Kenangan Garut,Kab. Garut,Cuanki/siomay kering-topping baso aci-seblak 200gr,10000.0,750.0,5.0
gaiagarut,Kab. Garut,GURILEM MINI isi 250gr Siomay Kering Toping Baso Aci Cuanki Seblak,7819.0,250.0,4.9
lahawelah,Kab. Garut,GURILEM MINI isi 250gr Siomay Kering Toping Baso Aci Cuanki Seblak,7819.0,100.0,4.9
CIPTA-RASA.,Bandung,kerupuk mawar putih kerupuk seblak,6250.0,40.0,4.7
Semesta kerupuk,Tangerang Selatan,Kerupuk mawar putih 1kg / kerupuk ikan/kerupuk seblak viral,23000.0,28.0,4.9
KRIUK JAYA,Jakarta Barat,KERUPUK SEBLAK Aneka Warna PEDAS ... HOT,14000.0,100.0,4.7
SuperSnacksShop,Kab. Bandung,KERUPUK / KERUPUK MENTAH / KERUPUK SEBLAK MENTAH / KRUPUK BWG 200gr,5000.0,1000.0,4.9
Golden Cakery,Jakarta Pusat,KERUPUK KRUPUK SEBLAK SEBRING PEDAS TERLARIS PER 250 GRAM,22500.0,100.0,4.8
oke snack,Jakarta Selatan,seblak kencur / okesnack,10000.0,750.0,4.9
Tsaadam Lego Home,Kab. Bandung,"Terlaris, SEBRING / Seblak Kering Bumbu Kacang Khas Bandung",80000.0,0.0,0.0
Golden Cakery,Jakarta Pusat,KERUPUK SEBLAK SEBRING PEDAS,9800.0,250.0,4.9
Official Kartika Sari,Bandung,Seblak Instan Sehati,13000.0,500.0,5.0
Retno Snack,Kab. Sidoarjo,Kerupuk Seblak Kencur Pedas Gurih Kering Renyah Enak 250 Gr,11400.0,0.0,0.0
CAMILLANS,Jakarta Selatan,kerupuk seblak pedas / kerupuk jablay,15000.0,12.0,4.8
Foodstocks,Jakarta Selatan,Seblak Hot Spicy By Bapper Food / Seblak Instant Khas Bandung,16800.0,40.0,5.0
DUO BOCIL SNACK,Depok,Kerupuk Seblak Pedas Gurih aroma Kencur,15000.0,1000.0,4.7
global cookware1,Jakarta Barat,"CUANKI TAHU TOPING BASO ACI, SEBLAK, MIE INSTAN ENAK GURIH",17999.0,750.0,4.8
snackbox88,Bekasi,"baso aci boci instan maci eco ayam, keju, seblak",8999.0,100.0,5.0
kylafood,Bandung,"Kylafood Paket ( Seblak Original, Batagor, Cireng Rujak, Boci Goang)",67340.0,500.0,4.9
RIKI STORE 97,Kab. Bogor,kerupuk seblak kencur pedas gurih,5000.0,40.0,4.6
Golden Cakery,Jakarta Pusat,KERUPUK SEBLAK SEBRING PEDAS,9800.0,250.0,4.9
tokomakanankalimantan,Jakarta Barat,seblak instan jeletot jajanan hits bandung 1 porsi,4180.0,1000.0,4.8
tsr1997,Depok,seblak instan,4555.0,1000.0,4.9
FAG COLLECTION,Surabaya,Seblak Cocol Seblak Coet Seblak Viral Seblak Bumbu Basah Seblak rafael,5000.0,0.0,0.0
Distributor Topping Baso Aci,Bandung,Kerupuk Putih Ori 5 Kg (BALL) Kerupuk Seblak / Kerupuk Mentah / Ker,75000.0,0.0,0.0
kira3arut,Kab. Garut,cuanki lidah asli garut isi 150 pcs,31000.0,8000.0,4.9
Semesta kerupuk,Tangerang Selatan,Kerupuk mawar putih 1kg / kerupuk ikan/kerupuk seblak viral,23000.0,28.0,4.9
Berkah Food Bandung,Cimahi,Seblak Instan Kenyang Murah Asli Bandung Reseller Tanpa Pengawet,6173.0,6000.0,4.9
G Cakery,Jakarta Pusat,KERUPUK JABLAY SEBLAK PELANGI 250 GRAM,13580.0,100.0,4.9
Rak Sebelah,Jakarta Pusat,Bundle 3pcs - Seblak Basranger Extra Pedas 200gr Makanan Instan,51900.0,40.0,4.8
Golden Cakery,Jakarta Pusat,KERUPUK KRUPUK SEBLAK SEBRING PEDAS TERLARIS PER 500 GRAM,42275.0,60.0,4.9
Markas Makaroni,Kab. Bekasi,krupuk seblak hah pedas gurih 200gr,10000.0,1000.0,4.8
Toko kue Sumber Mas,Jakarta Timur,KERUPUK/KRUPUK SEBLAK RASA PEDAS TERLARIS ISI 250 GRAM NETT,16695.0,250.0,4.9
Kenal Jaya Bandung,Bandung,Agen Seblak Mommy,9750.0,3000.0,4.9
Pedas Gilaa,Surabaya,Seblak Bapper,13999.0,250.0,4.9
Berkahrr,Bekasi,seblak mamang Rafael versi kering,12000.0,10.0,0.0
Pedas Gilaa,Surabaya,Seblak Instant Homemade Lengkap Bumbu,5000.0,2000.0,4.8
Golden Cakery,Jakarta Pusat,KERUPUK SEBLAK JABLAY PELANGI 1KG,45600.0,27.0,5.0
global cookware1,Jakarta Barat,"CUANKI TAHU TOPING BASO ACI, SEBLAK, MIE, ENAK DAN GURIH",18500.0,60.0,4.9
Nyonya Sayur,Jakarta Pusat,Kerupuk Merah/Kerupuk Seblak Mentah,7000.0,100.0,5.0
SanKrip,Jakarta Pusat,Sankrip Kerupuk Krupuk Jablay Seblak Mekar Bantet Pedas 250gr,27000.0,8.0,5.0
CemilanPuas,Medan,[READY MEDAN] Kerupuk Bawang Bantet Seblak Pedas Jeruk Murah 100grm,8000.0,250.0,4.9
SEBLAK MANTUL,Kab. Bandung,"seblak kerupuk kering,pedo,krupuk mawar,pedas daun jeruk,kerupuk gelun",5000.0,70.0,5.0
FARADHIFY STORE,Bekasi,SEBLAK VIRAL - SEBLAK INSTANT - SEBLAK RAFAEL - SEBLAK MAMANG RAFAEL,8880.0,100.0,4.8
Pempek Emak Indah,Jakarta Barat,BASO ACI INSTANT x SEBLAK INSTANT - HALU! EMAK INDAH FOOD,44600.0,40.0,4.9
GM_Frozenfood,Jakarta Timur,SEBLAK BAPPER - SEBLAK INSTAN,15900.0,250.0,4.8
Golden Cakery,Jakarta Pusat,Kerupuk Seblak BANTET Pedas /Seblak Pelangi ,15300.0,50.0,4.9
Distributor Cuanki dan Seblak,Kab. Bekasi,Cuanki Lidah 50 pcs topingan seblak baso Aci bakso cuanki,13500.0,250.0,4.8
Agen Snack Murah,Jakarta Barat,KRUPUK JABLAY PEDAS 500Gram/KRUPUK SEBLAK/SEBLAK KERING/SNACK KILOAN,22999.0,40.0,4.9
ArfaOnlineShop,Tangerang,kerupuk mix 250 gram campuran seblak,7399.0,60.0,5.0
NomeL Shop,Surabaya,MAKARONI bantet 70gr krupuk SEBLAK krupuk UDANG KERUPUK BANTET,2600.0,250.0,5.0
sembakocitra,Tangerang,Kerupuk Seblak/Ikan/Sari Udang/Merah - MENTAH,25000.0,20.0,5.0
yohangunawan94,Bandung,Kerupuk Merah Seblak 250gr BANDUNG,3938.0,750.0,5.0
Aishakira online,Jakarta Timur,Seblak Instan Enak dan Murah,11000.0,50.0,4.9
JS TOKO ONLINE,Jakarta Barat,Kerupuk Mentah / Kerupuk Seblak / Bawang Putih Goreng,7200.0,100.0,5.0
oke snack,Jakarta Selatan,Kerupuk Seblak Jeruk,14000.0,100.0,4.9
G Cakery,Jakarta Pusat,KERUPUK KRUPUK SEBLAK JABLAY KRUPUK PELANGI 170 GRAM,9500.0,80.0,4.9
CemilanPuas,Medan,[READY MEDAN] Extra Topping Baso Aci Cuanki Seblak - Tahu Siomay Mini,4000.0,250.0,4.5
tsr1997,Depok,Sebring seblak kering,4444.0,100.0,4.8
The Busrank Snack,Palembang,SEBLAK INSTAN LENGKAP TERMURAH 75gr,4450.0,14.0,5.0
Pelangi Girls Naget 2,Depok,seblak instan KSN frozen,10400.0,100.0,5.0
SNACK JAKARTA 411,Jakarta Barat,Kerupuk Seblak,8000.0,250.0,5.0
Pempek Emak Indah,Jakarta Barat,COMBO HALU! 2PC SEBLAK MIE HALU - EMAK INDAH FOOD,39600.0,50.0,5.0
TAM SNACK,Depok,Kerupuk Seblak Pedas Gurih Kencur 250 Gram - Tam Snack,14000.0,100.0,4.8
Bunda alifba,Jakarta Barat,Krupuk seblak//Krupuk Bantet 250gr,6000.0,30.0,4.7
RIKI STORE 97,Kab. Bogor,Kerupuk seblak 100 gram Pedas gurih,7000.0,6.0,5.0
TOBELO SHOP,Tangerang,SEBLAK GEPREK SAMIRAOS / SEBLAK MIE / SEBLAK SOUN / SEBLAK INSTAN,17850.0,100.0,4.8
camilaNung,Bekasi,snack kiloan kerupuk seblak pedas nagih 250 gram free bubble warp,16000.0,500.0,4.8
kylafood,Bandung,Seblak Karuhun k.y.l Kylafood,10125.0,4000.0,4.8
ANV_SNACK,Surabaya,Krupuk seblak kencur 250 gr,68000.0,1.0,0.0
Golden Cakery,Jakarta Pusat,KERUPUK SEBLAK SEBRING PEDAS KILOAN - 1 kg,84550.0,16.0,5.0
gaiagarut,Kab. Garut,Tahu Kering Keriting PREMIUM isi 50 untuk Toping Baso Aci Seblak Mie,16799.0,100.0,4.9
Lakoca Official Shop,Cimahi,Paket Isi 6 Cuanki Instan Lakoca | Batagor Instan | Seblak Basah GFS,93840.0,100.0,4.8
the Dhecip,Tangerang Selatan,Seblak Instan Pedas Home Made,3500.0,1000.0,4.8
hikmah berkah jaya,Jakarta Barat,seblak instant sajodo snak,19000.0,750.0,4.8
emmoshop,Kab. Bogor,Mommy Seblak Basah Instant 100gr,10000.0,2000.0,4.9
Pusat Cuankie & Cemilan Frozen,Jakarta Timur,SEBLAK INSTANT TERMURAH,3999.0,10000.0,4.8
Berkahrr,Bekasi,seblak mamang Rafael versi kering,12000.0,10.0,0.0
Anggris store,Kab. Bogor,Kerupuk Seblak / Seblak / Kering Pedas /,10000.0,40.0,4.8
Agen Snack Murah,Jakarta Barat,KRUPUK JABLAY PEDAS 500Gram/KRUPUK SEBLAK/SEBLAK KERING/SNACK KILOAN,22999.0,40.0,4.9
BociKakang,Jakarta Selatan,SEBLAK KERING PEDAS DAUN JERUK,4500.0,500.0,4.6
yumnaa snack,Kab. Bekasi,kerupuk seblak kencur / kerupuk seblak kering - 250gram,12000.0,30.0,4.9
the Dhecip,Tangerang Selatan,Seblak Instan Pedas Home Made,3500.0,1000.0,4.8
hikmah berkah jaya,Jakarta Barat,seblak instant sajodo snak,19000.0,750.0,4.8
emmoshop,Kab. Bogor,Mommy Seblak Basah Instant 100gr,10000.0,2000.0,4.9
Pusat Cuankie & Cemilan Frozen,Jakarta Timur,SEBLAK INSTANT TERMURAH,3999.0,10000.0,4.8
Aliya28,Tangerang Selatan,Seblak/Cuanki/Baso aci/Batagor kuah (instan) 1porsi. toping lengkap,7500.0,100.0,5.0
vieka mart official,Tangerang Selatan,Seblak ala Kang Rafael | Seblak Viral | Seblak Cobek,9216.0,250.0,5.0
TokokelontongSejahtera,Jakarta Barat,KERUPUK SEBLAK VIRAL RAFAEL (MENTAH) 250GR,17500.0,28.0,5.0
arzy sembako,Kab. Bogor,kerupuk seblak rafael 500gram,13800.0,30.0,5.0
Toko NRV Plastik dan Bahan Kue,Bandung,Kerupuk Aci Mawar | Kerupuk Mawar Putih | Seblak Rafael Viral | 250gr,7999.0,100.0,5.0
babykhai,Jakarta Timur,seblak rafael / seblak coet / seblak cocol,7500.0,100.0,4.9
the Dhecip,Tangerang Selatan,Seblak Instan Pedas Home Made,3500.0,1000.0,4.8
Baso Aci Ayang,Kab. Garut,Seblak Instan Komplit Pedas Gurih Nikmat,5999.0,2000.0,4.9
BociKakang,Jakarta Selatan,SEBLAK KERING PEDAS DAUN JERUK,4500.0,500.0,4.6
Aydaa Snack,Surakarta,SEBRING KRUPUK KERUPUK SEBLAK KERING PEDAS DAUN JERUK 1KG CABE ASLI,16000.0,40.0,4.9
RIKI STORE 97,Kab. Bogor,Seblak pedas kerupuk pedas kiloan 1 kg,34000.0,70.0,4.8
ANV_SNACK,Surabaya,Krupuk seblak kencur 250 gr,68000.0,1.0,0.0
Golden Cakery,Jakarta Pusat,KERUPUK SEBLAK SEBRING PEDAS KILOAN - 1 kg,84550.0,16.0,5.0
gaiagarut,Kab. Garut,Tahu Kering Keriting PREMIUM isi 50 untuk Toping Baso Aci Seblak Mie,16799.0,100.0,4.9
