,Penjual,Kota Toko,Nama Produk,Harga Produk,Jumlah Terjual,Rating Produk
849,Aydaa Snack,Surakarta,SEBRING KRUPUK KERUPUK SEBLAK KERING PEDAS DAUN JERUK 1KG CABE ASLI,16000.0,Terjual 40+,4.9
850,RIKI STORE 97,Kab. Bogor,Seblak pedas kerupuk pedas kiloan 1 kg,34000.0,Terjual 70+,4.8
851,Nasyadia shopestore,Cimahi,seblak sosis/pansos ekonomis,6000.0,None,None
852,The Little Snacks,Tangerang Selatan,Paket Cemilan Spicy Lover Serba Pedas Sangar Gurilem/Basreng/Sumpia,59000.0,Terjual 100+,4.9
853,Cookies & Snack,Denpasar,"Keripik Seblak Pedas / Snack Spicy Homemade, Cemilan, Kerupuk - 100 gr",12000.0,None,None
854,Gerai Singawada,Kab. Majalengka,Seblak Pedas Kicimpring Iyagasih,15000.0,Terjual 6,5.0
855,Cookies & Snack,Denpasar,"Keripik Seblak Pedas / Snack Spicy Homemade, Cemilan, Kerupuk, Jajan - 50 gr",6000.0,None,None
856,Distributor Cuanki dan Seblak,Kab. Bekasi,cuanki tahu pasung kering toping seblak baso Aci bakso cuanki 50 pcs,15000.0,Terjual 70+,4.9
857,Kenal Jaya Bandung,Bandung,BOBOKO Kerupuk Seblak Kering,13999.0,Terjual 100+,5.0
858,duniacemilan,Bandung,[TERMURAH!!] Seblak Instant Basranger Extra Pedas 200gram,13790.0,Terjual 100+,5.0
859,pasarbadung,Denpasar,Krupuk Seblak Kencur Pedes 250 gr,21000.0,Terjual 26,5.0
860,Gerai Snack Official Shop,Kab. Tangerang,"Seblak Bantat Boboko Pedas Daun Jeruk Level 7,8,9 (200gr)",15900.0,Terjual 100+,5.0
861,sentosa jaya cuanki,Kab. Garut,Seblak Instan extraHot,4200.0,Terjual 5 rb+,4.9
862,TokokelontongSejahtera,Jakarta Barat,KERUPUK SEBLAK /MAWAR VIRAL 1 KG (MENTAH)/ KERUPUK SEBLAK MAMANG,31000.0,Terjual 5,5.0
863,Toko NRV Plastik dan Bahan Kue,Bandung,Kerupuk Putih Seblak Tenggiri | Mutiara Sari | 250gram | Kiloan Mentah,4999.0,Terjual 40+,5.0
864,Kurniarasa Baltos,Bandung,KERUPUK SEBLAK PUTIH PEDAS 250 gr,16000.0,Terjual 100+,4.9
865,zhafran_id,Kab.Ciamis,Kerupuk seblak jengkol extra pedas 1kg krupuk jengkol pedas murah,20000.0,Terjual 30+,4.2
866,Rak Sebelah,Jakarta Pusat,JagooBdgFood Seblak Simple Pedas 100gr - Ready to Cook Siap Saji Spicy,20900.0,Terjual 4,None
867,kylafood,Bandung,Seblak Tulang Rawan k.y.l Kylafood,16450.0,Terjual 8 rb+,4.9
868,Rasa Juara Indonesia,Bandung,CUANKIE JUARA! CUANKIE JAJANAN KULINER ENAK KHAS BANDUNG VARIAN RASA - 6 Ayam Bwg (AB),115000.0,Terjual 500+,4.9
869,CuankiCulametan,Kab. Garut,Cuanki lidah murah kiloan isi 150 toping seblak baso aci,32500.0,Terjual 100+,5.0
870,kaleastores,Kab. Banyuwangi,Kerupuk seblak - cemilan murah kaleastores,13500.0,None,None
871,Dapur Kumis,Surabaya,Seblak kuah instan,5000.0,Terjual 100+,4.8
872,Jagain_id,Kab. Garut,Cuanki Lidah Ikan Tenggiri (Isi 150 Pc) |Toping Baso aci|Toping seblak,15500.0,Terjual 30+,4.7
873,UnikidsOnline,Jakarta Barat,Mommy Seblak Instant,13000.0,Terjual 100+,4.9
874,TTH-grocerystore,Bandung,KERUPUK SEBLAK VIRAL RAFAEL BUNGA PUTIH,8500.0,Terjual 16,None
875,Raskitchenn,Kab. Sidoarjo,Topping Baso Aci Seblak - Topping Extra Cuanki Lidah Tahu Sukro Cikur,4999.0,Terjual 13,5.0
876,DelimaFCB,Surabaya,Kerupuk Bawang Seblak Bintang Mentah / Kerupuk Tersanjung 100 gram,4000.0,Terjual 6,5.0
877,makaronihaho,Malang,kripik seblak kering pedas,5000.0,Terjual 250+,4.9
878,aghniya,Tangerang Selatan,cuanki lidah untuk baso aci dan seblak,15999.0,Terjual 1 rb+,4.8
879,VITHAFROZEN,Malang,Seblak Instan,7000.0,Terjual 7,4.3
880,Ayyabina & Hijab Alila,Jakarta Barat,Seblak Koko Instan Non MSG HALAL MUI CEMILAN ENAK KUAH (POUCH),22000.0,Terjual 22,4.8
881,CuankiCulametan,Kab. Garut,Cuanki Pangsit kering Segitiga Cipet isi 40 toping seblak baso aci,13000.0,Terjual 100+,4.9
882,Foodstocks,Jakarta Selatan,Sami Raos Cuanki Geprek Instan,18270.0,Terjual 25,4.8
883,Mo_toko,Tangerang Selatan,Soaci Seblak Baso Aci Homemade Makanan Instant Lokal,19750.0,Terjual 19,4.7
884,CUANKI CULAMETAN,Kab. Garut,cuanki tahu gepeng isi 100 pcs toping seblak bsso aci,38999.0,Terjual 80+,4.9
885,CuankiCulametan,Kab. Garut,siomay mini kering 1kg / gurilem toping seblak baso aci cuanki,25000.0,Terjual 90+,4.9
886,diametuah,Kab. Bogor,Kerupuk Seblak Keto,60000.0,Terjual 15,5.0
887,inacio19,Bekasi,(0_0) 250g Kerupuk mentah / kerupuk seblak / kerupuk warna warni /,7000.0,None,None
888,Ning Mart,Tangerang,indomie seblak hot jeletot,3000.0,Terjual 500+,5.0
889,yumnaa snack,Kab. Bekasi,pilus cikur / pilus seblak baso aci - 250gram,10990.0,Terjual 30+,4.8
890,KingStairs-Store (ANNAFI STORE),Palembang,Kerupuk Seblak,14000.0,Terjual 27,5.0
891,masulah,Surabaya,krupuk mentah seblak,4500.0,None,None
892,Frozen Food 28,Kab. Bekasi,"Kerupuk Keripik Seblak Kencur 500gr Pedas,Kerupuk Seblak Kering Jablay",21500.0,Terjual 12,5.0
893,Toko Yazid Cita Rasa,Bandung,kerupuk seblak kering pedas daun jeruk 250 gram,15000.0,Terjual 4,5.0
894,Madinah Oleh Oleh Bdg,Bandung,KERUPUK SEBLAK CABE IJO,18000.0,Terjual 100+,4.7
895,SuperSnacksShop,Kab. Bandung,KRUPUK / KERUPUK MENTAH / KERUPUK SEBLAK MENTAH 200 GR MAWAR KUNING,5000.0,Terjual 25,5.0
896,Bosmart99,Jakarta Selatan,Kerupuk merah 250g mentah tuk nasi uduk bubur ayam bahan seblak murah,7000.0,Terjual 80+,4.9
897,kakai_store10,Kab. Bantul,SEBLAK instan Murah ENak Lengkap,6500.0,Terjual 26,5.0
898,Eshoppe,Jakarta Utara,"Seblak Kerupuk Bawang "" Cap Warung "" 120 gram Snack Makanan Ringan",9000.0,Terjual 80+,4.9
899,joeragan baroe,Bandung,Kerupuk seblak viral seblak rafael 250 gram,7500.0,Terjual 12,5.0
900,Super Grosir Mama,Jakarta Selatan,Indomie HypeAbis Rasa Seblak Hot Jeletot 75gr 10pcs,30850.0,Terjual 100+,5.0
901,kappa center,Tangerang,Seblak Geprek,19000.0,Terjual 20,5.0
902,Makanan_Ku19,Jakarta Timur,kerupuk pedas seblak,10000.0,Terjual 17,5.0
903,aghniya,Tangerang Selatan,"pilus cikur/kencur renceng isi 20 bks. baso aci, seblak, cemilan dll",9999.0,Terjual 250+,5.0
904,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,TAHU STICK / TAHU KERITING ISI 50 PCS TOPPING BASO ACI / SEBLAK,16000.0,Terjual 16,5.0
905,kylafood,Bandung,Paket k.y.l (3 Seblak Original 2 Batagor kuah) Kylafood,86210.0,Terjual 3 rb+,4.9
906,Keripik Edun Bandung,Kab. Bandung,Kerupuk Seblak Kering Putih Ngembang Khas Keripik Pojok Riki Mang Odod,13999.0,Terjual 18,5.0
907,Agen Snack Jakarta,Kab. Bogor,Kerupuk Seblak 200gr,13000.0,Terjual 11,5.0
908,bangkit jaya snack,Bekasi,kerupuk seblak kencur pedas,13000.0,Terjual 70+,4.9
909,kikuk kriuk,Cimahi,KERUPUK SEBLAK,12500.0,Terjual 100+,4.8
910,Itabilashop,Cimahi,itabilashop krupuk seblak keriting aneka rasa [100gr],9000.0,Terjual 23,5.0
911,dakar_ofc,Kab. Mojokerto,SEBLAK INSTAN ORI/SEBLAK INSTAN KERUPUK/SEBLAK INSTAN MURAH,3899.0,Terjual 70+,5.0
912,aghniya,Tangerang Selatan,aneka kerupuk mix untuk bahan seblak 1 kg,24999.0,Terjual 100+,5.0
913,SuperSnacksShop,Kab. Bandung,KRUPUK / KERUPUK MENTAH / KERUPUK SEBLAK BINTANG KECIL 5KG,67850.0,Terjual 20,4.8
914,vieka mart official,Tangerang Selatan,Kerupuk Seblak | Cemilan Pedas | Cemilan Kering 150gr,9256.0,Terjual 29,4.9
915,kylafood,Bandung,Seblak Mie Baso k.y.l Kylafood,21465.0,Terjual 4 rb+,4.9
916,Tsamara Ol Shopp,Kab. Bekasi,seblak instan Gacor,7500.0,Terjual 13,5.0
917,DINAYASHOP,Jakarta Barat,kerupuk mentah seblak,65000.0,Terjual 17,4.0
918,Asinan Maputri,Tangerang,Snack Seblak jeletot 150 gr,14000.0,Terjual 9,4.8
919,newtopik,Bandung,SEBLAK INSTAN SEHAT NON MSG,6000.0,Terjual 100+,4.8
920,kemplang Ango,Kab. Bekasi,Makaroni Seblak Basreng Keripik Kaca Capsule Pedas Kelanting Kurma,20000.0,Terjual 14,4.7
921,gaiagarut,Kab. Garut,"Siomay Cuanki Kering isi 100pcs Toping Baso Aci, Seblak khas Garut",26399.0,Terjual 500+,4.9
922,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,Cuankie Batagor Mini topping baso aci / seblak,9999.0,Terjual 250+,4.7
923,Distributor Cuanki dan Seblak,Kab. Bekasi,Cuanki tahu Gepeng Geprek isi 100 pcs toping seblak baso Aci baso,35000.0,Terjual 40+,5.0
924,hilmandza,Kab. Tangerang,SEBLAK INSTAN,13000.0,Terjual 23,4.8
925,Yen's Baby & Kid Official Shop,Bandung,Seblak Juara / Seblak Instan Asli Bandung,18500.0,Terjual 50+,5.0
926,CUANKI CULAMETAN,Kab. Garut,cuanki tahu kering seblak atau batagor kering isi 150 pcs,34000.0,Terjual 80+,5.0
927,Seblak Mang Muss,Tasikmalaya,SEBLAK KICIMPRING MANG MUSS,8250.0,Terjual 750+,4.8
928,BarokahJayaSnack,Bandung,Keripik Cireng Seblak Bandung,18000.0,Terjual 30+,4.8
929,CuankiCulametan,Kab. Garut,cuanki siomay mini gurilem 1 ons toping seblak baso aci,3000.0,Terjual 40+,5.0
930,Gerai Snack Official Shop,Kab. Tangerang,Maicih Basreng,15300.0,Terjual 10 rb+,4.8
931,the Dhecip,Tangerang Selatan,Seblak Instan Pedas Home Made,3500.0,Terjual 1 rb+,4.8
