,Penjual,Kota Toko,Nama Produk,Harga Produk,Jumlah Terjual,Rating Produk
211,yumnaa snack,Kab. Bekasi,kerupuk seblak kencur / kerupuk seblak kering - 250gram,12000.0,Terjual 30+,4.9
212,the Dhecip,Tangerang Selatan,Seblak Instan Pedas Home Made,3500.0,Terjual 1 rb+,4.8
213,hikmah berkah jaya,Jakarta Barat,seblak instant sajodo snak,19000.0,Terjual 750+,4.8
214,emmoshop,Kab. Bogor,Mommy Seblak Basah Instant 100gr,10000.0,Terjual 2 rb+,4.9
215,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,SEBLAK INSTANT TERMURAH,3999.0,Terjual 10 rb+,4.8
216,Aliya28,Tangerang Selatan,Seblak/Cuanki/Baso aci/Batagor kuah (instan) 1porsi. toping lengkap,7500.0,Terjual 100+,5.0
217,vieka mart official,Tangerang Selatan,Seblak ala Kang Rafael | Seblak Viral | Seblak Cobek,9216.0,Terjual 250+,5.0
218,TokokelontongSejahtera,Jakarta Barat,KERUPUK SEBLAK VIRAL RAFAEL (MENTAH) 250GR,17500.0,Terjual 28,5.0
219,arzy sembako,Kab. Bogor,kerupuk seblak rafael 500gram,13800.0,Terjual 30+,5.0
220,Toko NRV Plastik dan Bahan Kue,Bandung,Kerupuk Aci Mawar | Kerupuk Mawar Putih | Seblak Rafael Viral | 250gr,7999.0,Terjual 100+,5.0
221,babykhai,Jakarta Timur,seblak rafael / seblak coet / seblak cocol,7500.0,Terjual 100+,4.9
222,the Dhecip,Tangerang Selatan,Seblak Instan Pedas Home Made,3500.0,Terjual 1 rb+,4.8
223,Baso Aci Ayang,Kab. Garut,Seblak Instan Komplit Pedas Gurih Nikmat,5999.0,Terjual 2 rb+,4.9
224,BociKakang,Jakarta Selatan,SEBLAK KERING PEDAS DAUN JERUK,4500.0,Terjual 500+,4.6
225,Aydaa Snack,Surakarta,SEBRING KRUPUK KERUPUK SEBLAK KERING PEDAS DAUN JERUK 1KG CABE ASLI,16000.0,Terjual 40+,4.9
226,RIKI STORE 97,Kab. Bogor,Seblak pedas kerupuk pedas kiloan 1 kg,34000.0,Terjual 70+,4.8
227,ANV_SNACK,Surabaya,Krupuk seblak kencur 250 gr,68000.0,Terjual 1,None
228,Golden Cakery,Jakarta Pusat,KERUPUK SEBLAK SEBRING PEDAS KILOAN - 1 kg,84550.0,Terjual 16,5.0
229,gaiagarut,Kab. Garut,Tahu Kering Keriting PREMIUM isi 50 untuk Toping Baso Aci Seblak Mie,16799.0,Terjual 100+,4.9
230,CuankiCulametan,Kab. Garut,cuanki tahu geprek isi 50 murah toping seblak baso aci,19000.0,Terjual 50+,4.7
231,Rak Sebelah,Jakarta Pusat,Bundle 3pcs - Seblak Basranger Extra Pedas 200gr Makanan Instan,51900.0,Terjual 40+,4.8
232,Pedas Gilaa,Surabaya,GURILEM MINI 1KG Siomay Kering Toping Baso Aci Cuanki Seblak,29999.0,Terjual 500+,4.9
233,The Little Snacks,Tangerang Selatan,Seblak Merah Pedas / Kerupuk Bawang Oleh Oleh Bandung Odjolali,9000.0,Terjual 500+,4.9
234,Fortuneolshop888,Kab. Bogor,Mommy Seblak Basah Instan 100gr,9750.0,Terjual 250+,4.9
235,yumnaa snack,Kab. Bekasi,krupuk stik seblak pedas-200gram,11950.0,Terjual 19,5.0
236,Seblak carla,Tangerang,Seblak Instant Carla With Batagor dan Siomay Jajanan khas Bandung,122500.0,Terjual 750+,5.0
237,BociKakang,Jakarta Selatan,SEBLAK KERING PEDAS DAUN JERUK,4500.0,Terjual 500+,4.6
238,Pedas Gilaa,Surabaya,Pilus Cikur 1Kg Khas Garut Topping Baso Aci / Seblak,33000.0,Terjual 250+,4.9
239,BaroqahSnack,Jakarta Barat,Kerupuk Kribo /Seblak Mawar Khas Daun Jeruk,11500.0,Terjual 40+,5.0
240,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,Pilus Cikur Topping Baso Aci / Seblak,11500.0,Terjual 250+,4.8
241,Eagar Wangsa,Jakarta Utara,100gr Kerupuk Bawang Tersanjung Bintang Bunga Krupuk Mentah seblak,4400.0,Terjual 250+,4.8
242,Ekosistem Halal,Depok,kerupuk bawang spesial seblak nasi uduk 1/2kg 500gr grosir murah,9866.0,Terjual 29,4.9
243,Welly Mart,Tangerang Selatan,Seblak Pedas mBakWell Rasanya Mantap Bikin Nagih,15000.0,None,None
244,a grow exia (store),Kab. Bantul,SamiRaos Baso Aci Geprek Tulang Rangu Seblak Baso Urat Yamin Noodle,18950.0,Terjual 17,5.0
245,Saung Market Official,Kab. Bandung Barat,BASO ACI | BATAGOR | SEBLAK Lembang | Cemilan | Snack | Jajanan Pedas - Baso Aci,24500.0,Terjual 60+,5.0
246,Bung Boe Snack,Kab. Sumedang,Seblak / Seblak Kering / Kerupuk Seblak Kering Pedas,15000.0,Terjual 40+,5.0
247,aghniya,Tangerang Selatan,Cuanki lidah standar 150 pcs khas garut untuk baso aci & Seblak K'rasa,39999.0,Terjual 500+,4.9
248,Madinah Oleh Oleh Bdg,Bandung,SEBLAK BANTAT PEDES DAUN JERUK 250GR,18000.0,Terjual 100+,4.9
249,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,Bumbu Penyedap Baso Aci / Seblak,14500.0,Terjual 100+,4.9
250,G Cakery,Jakarta Pusat,KERUPUK SEBLAK SEBRING PEDAS - 125 GR,11400.0,Terjual 80+,4.9
251,yohangunawan94,Bandung,Kerupuk RANTAI 250gr SEBLAK Warna Warni,4987.0,Terjual 500+,5.0
252,RIKI STORE 97,Kab. Bogor,kerupuk seblak kering enak gurih,5000.0,Terjual 250+,4.8
253,ArfaOnlineShop,Tangerang,cuanki/cuankie lidah 50 pcs khas Garut topping baso Aci/seblak/boci,16999.0,Terjual 100+,4.9
254,ANUM SARI,Tangerang Selatan,Kerupuk Seblak Kencur Pedas Gurih - Anum Sari,14000.0,Terjual 30+,4.9
255,Dapur Tahera,Bandung,Seblak Rafael Instan Kerupuk Mawar Babangi,6000.0,Terjual 16,5.0
256,TTH-grocerystore,Bandung,KERUPUK SEBLAK VIRAL RAFAEL BUNGA PUTIH 500 GR,14500.0,Terjual 24,5.0
257,AHR Jaya Snack,Jakarta Timur,KERUPUK KRIWIL PEDAS 1kg / KRUPUK SEMBRING SEBLAK KERITING,67848.0,Terjual 9,3.0
258,agen produk organik jkt,Jakarta Timur,Seblak Kerupuk,12000.0,None,None
259,toko bemo,Jakarta Timur,Kerupuk Seblak Pedas 200gram,17000.0,Terjual 100+,4.8
260,oke snack,Jakarta Selatan,cemilan SEBLAK KARI PEDAS 65gr,4500.0,Terjual 100+,4.8
261,Parengge Rengge bumbu & rempah,Jakarta Timur,Kerupuk Bawang Prima / Krupuk Seblak 500gram,17500.0,Terjual 4,5.0
262,DEVAN MUKENAH DEWASA,Jakarta Selatan,JSR SNACK PAKET BUNDLING HEMAT SEBLAK BASO ACI BASRENG RABOKKI,40000.0,Terjual 70+,5.0
263,aghniya,Tangerang Selatan,"siomay kering bandung 500 gr. untuk baso aci, seblak ,mie ayam dll",14999.0,Terjual 750+,4.9
264,juragan bawang merah,Depok,kerupuk mawar putih/ kerupuk seblak rafael,7300.0,Terjual 24,4.0
265,King Fresh Mart,Jakarta Barat,Seblak Putri 80 gr,12500.0,Terjual 10,5.0
266,oke snack,Jakarta Selatan,seblak jengkol pedas / okesnack,16000.0,Terjual 100+,4.9
267,Distributor Cuanki dan Seblak,Kab. Bekasi,Cuanki Batagor besar isi 25 pcs toping seblak baso Aci bakso cuanki,8600.0,Terjual 100+,4.9
268,Ekosistem Halal,Depok,kerupuk bawang spesial seblak nasi uduk 1kg 1000gr super grosir murah,16580.0,Terjual 40+,5.0
269,jajanan masabi,Jakarta Selatan,"baso aci telor daging ( cuanki, seblak, tulang rangu, boci)",9500.0,Terjual 26,5.0
270,RIKI STORE 97,Kab. Bogor,Sabring kerupuk seblak pedas gurih,2500.0,Terjual 100+,4.9
271,Golden Cakery,Jakarta Pusat,KERUPUK KRUPUK SEBLAK JABLAY PELANGI PEDAS TERLARIS PER 500 GRAM,23750.0,Terjual 100+,4.8
272,Distributor Cuanki dan Seblak,Kab. Bekasi,Sukro pilus Cikur Sari rasa 500 g - toping seblak - baso aci,18000.0,Terjual 60+,4.9
273,Ghery Durian Shop,Jakarta Timur,Seblak Uleg Ala Mamang Rafael,9000.0,Terjual 7,5.0
274,CIPTA-RASA.,Bandung,KRUPUK / KERUPUK MENTAH / KERUPUK SEBLAK MENTAH 1kg KEONG WARNA,6250.0,Terjual 18,5.0
275,aghniya,Tangerang Selatan,"seblak kering pedas 250 gr/seblak kencur/kerupuk seblak,enak dan gurih",9999.0,Terjual 250+,4.8
276,oke snack,Jakarta Selatan,cemilan seblak ring pedas 250gr,16000.0,Terjual 250+,4.8
277,Seblak putra bandung,Kab. Bandung,seblak basreng pedas original exstra daun jeruk 500gram,25000.0,Terjual 250+,4.8
278,steviag91,Tangerang Selatan,SEBLAK MANG JOJO,24000.0,Terjual 100+,5.0
279,anugrah seblak,Kab. Bandung,"seblak krupuk 5000 ,pedas dan gurih",4000.0,Terjual 1 rb+,4.7
280,ArfaOnlineShop,Tangerang,CUANKI/CUANKIE SIOMAY SPECIAL KHAS GARUT ISI 50 PCS BASO ACI & SEBLAK,17999.0,Terjual 17,5.0
281,Sahabatdapur1,Tangerang,Kerupuk Bawang 250gr / Kerupuk Mentah / Kerupuk Seblak - Sahabatdapur,7500.0,Terjual 8,5.0
282,KedaiMart Official Store,Tangerang,Kerupuk Seblak Merah 1 Kg,23200.0,Terjual 15,5.0
283,Kerabat Official Store,Kab. Tasikmalaya,Cuanki Lidah Kerupuk Cuanky Topping Baso Aci Seblak isi 150 Pcs,33000.0,Terjual 100+,4.8
284,Pixie By Cynthia,Semarang,KERUPUK MAWAR TERUNG KECIL 250 GRAM SEBLAK COET COCOL,6499.0,Terjual 11,5.0
285,Sinar Baru Group,Jakarta Selatan,Kerupuk Bawang Mentah Premium / Krupuk Seblak Warna Warni 1 Kg,21500.0,Terjual 60+,4.8
286,kylafood,Bandung,Seblak Karuhun k.y.l Kylafood,10125.0,Terjual 4 rb+,4.8
287,ArfaOnlineShop,Tangerang,PILUS CIKUR 250 GRAM KHAS SUKABUMI BASO ACI/BOCI/SEBLAK,9999.0,Terjual 80+,4.8
288,Sajodo Snack & Food,Tasikmalaya,SEBLAK INSTAN SAJODO SNACK,22500.0,Terjual 40+,5.0
289,anugrah seblak,Kab. Bandung,"makaroni kriuk 500g pedas extra daun jeruk,cemilan nikmat,seblak,makan",23000.0,Terjual 250+,4.8
290,Distributor Cuanki dan Seblak,Kab. Bekasi,Sukro pilus Cikur Sari rasa 1kg - toping seblak - baso aci,35000.0,Terjual 90+,4.7
291,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,SEBLOK / SEBLAK CILOK RANGU NYAKREK,6800.0,Terjual 250+,4.8
292,toko bemo,Jakarta Timur,Kerupuk Seblak Pedas 200gram,17000.0,Terjual 100+,4.8
293,juragan bawang merah,Depok,kerupuk orange / kerupuk seblak 250 gram,5500.0,Terjual 17,5.0
294,jajanan masabi,Jakarta Selatan,"seblak instan sambal mercon (bakso, boci, cuanki, tulang rangu, )",7500.0,Terjual 11,5.0
295,G Cakery,Jakarta Pusat,KERUPUK JABLAY SEBLAK PELANGI 500 GRAM,23275.0,Terjual 30+,5.0
296,toko cemilan rafiqi,Jakarta Barat,krupuk seblak pedas daun jeruk,10000.0,Terjual 100+,5.0
297,ArfaOnlineShop,Tangerang,SIOMAY MINI KERING 250 GRAM BASO ACI/BOCI/SEBLAK/CUANKI/CUANKIE,9999.0,Terjual 80+,4.9
298,basreng teteh99,Kab. Bandung,seblak kerupuk bantat pedas daun jeruk renyah gurih cemilan Hah keripi,25000.0,Terjual 50+,4.7
299,Seblak Cilookba,Kab. Bandung Barat,Seblak Cilookba original,17500.0,Terjual 50+,5.0
300,Bakso Bu Etu,Kab. Bandung,Seblak Bu Etu - Misdaseum / Original,19900.0,Terjual 500+,4.9
301,BociKakang,Jakarta Selatan,KERUPUK BAWANG ANEKA WARNA KRUPUK SEBLAK MENTAH WARNA WARNI,12500.0,Terjual 100+,4.7
302,Distributor Topping Baso Aci,Bandung,Batagor Kering Bulat 50buah,21000.0,Terjual 4 rb+,4.9
303,Toko San Tiga,Pasuruan,Camilan Seblak Kencur 500 gram,17000.0,None,None
304,gaiagarut,Kab. Garut,SUKRO CIKUR RENYAH NGEPROS isi 1KG Pelengkap Baso Aci Cuanki Seblak,31999.0,Terjual 60+,5.0
305,Golden Cakery,Jakarta Pusat,Kerupuk Seblak BANTET Pedas /Seblak Pelangi  - 1/4 kg,15300.0,Terjual 50+,4.9
306,Snack Zone Official,Jakarta Selatan,Kerupuk Seblak Pedas Mimi,18000.0,Terjual 70+,4.9
307,the Dhecip,Tangerang Selatan,Seblak Instan Pedas Home Made,3500.0,Terjual 1 rb+,4.8
308,hikmah berkah jaya,Jakarta Barat,seblak instant sajodo snak,19000.0,Terjual 750+,4.8
309,emmoshop,Kab. Bogor,Mommy Seblak Basah Instant 100gr,10000.0,Terjual 2 rb+,4.9
310,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,SEBLAK INSTANT TERMURAH,3999.0,Terjual 10 rb+,4.8
311,Berkahrr,Bekasi,seblak mamang Rafael versi kering,12000.0,Terjual 10,None
312,Anggris store,Kab. Bogor,Kerupuk Seblak / Seblak / Kering Pedas /,10000.0,Terjual 40+,4.8
313,Agen Snack Murah,Jakarta Barat,KRUPUK JABLAY PEDAS 500Gram/KRUPUK SEBLAK/SEBLAK KERING/SNACK KILOAN,22999.0,Terjual 40+,4.9
314,BociKakang,Jakarta Selatan,SEBLAK KERING PEDAS DAUN JERUK,4500.0,Terjual 500+,4.6
315,yumnaa snack,Kab. Bekasi,kerupuk seblak kencur / kerupuk seblak kering - 250gram,12000.0,Terjual 30+,4.9
316,the Dhecip,Tangerang Selatan,Seblak Instan Pedas Home Made,3500.0,Terjual 1 rb+,4.8
317,hikmah berkah jaya,Jakarta Barat,seblak instant sajodo snak,19000.0,Terjual 750+,4.8
318,emmoshop,Kab. Bogor,Mommy Seblak Basah Instant 100gr,10000.0,Terjual 2 rb+,4.9
319,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,SEBLAK INSTANT TERMURAH,3999.0,Terjual 10 rb+,4.8
320,Aliya28,Tangerang Selatan,Seblak/Cuanki/Baso aci/Batagor kuah (instan) 1porsi. toping lengkap,7500.0,Terjual 100+,5.0
321,vieka mart official,Tangerang Selatan,Seblak ala Kang Rafael | Seblak Viral | Seblak Cobek,9216.0,Terjual 250+,5.0
322,TokokelontongSejahtera,Jakarta Barat,KERUPUK SEBLAK VIRAL RAFAEL (MENTAH) 250GR,17500.0,Terjual 28,5.0
323,arzy sembako,Kab. Bogor,kerupuk seblak rafael 500gram,13800.0,Terjual 30+,5.0
324,Toko NRV Plastik dan Bahan Kue,Bandung,Kerupuk Aci Mawar | Kerupuk Mawar Putih | Seblak Rafael Viral | 250gr,7999.0,Terjual 100+,5.0
325,babykhai,Jakarta Timur,seblak rafael / seblak coet / seblak cocol,7500.0,Terjual 100+,4.9
326,the Dhecip,Tangerang Selatan,Seblak Instan Pedas Home Made,3500.0,Terjual 1 rb+,4.8
327,Baso Aci Ayang,Kab. Garut,Seblak Instan Komplit Pedas Gurih Nikmat,5999.0,Terjual 2 rb+,4.9
328,BociKakang,Jakarta Selatan,SEBLAK KERING PEDAS DAUN JERUK,4500.0,Terjual 500+,4.6
329,Aydaa Snack,Surakarta,SEBRING KRUPUK KERUPUK SEBLAK KERING PEDAS DAUN JERUK 1KG CABE ASLI,16000.0,Terjual 40+,4.9
330,RIKI STORE 97,Kab. Bogor,Seblak pedas kerupuk pedas kiloan 1 kg,34000.0,Terjual 70+,4.8
331,CuankiCulametan,Kab. Garut,Cuanki lidah murah kiloan isi 150 toping seblak baso aci,32500.0,Terjual 100+,5.0
332,Gerai Snack Official Shop,Kab. Tangerang,Soun Seblak Geprek SAMI RAOS Khas Garut,18700.0,Terjual 70+,4.8
333,Distributor Topping Baso Aci,Bandung,Kerupuk Bawang Warna 5 Kg (BALL) Kerupuk Seblak / Kerupuk Mentah / Ker,77000.0,Terjual 2,5.0
334,Ekosistem Halal,Depok,kerupuk bawang spesial seblak nasi uduk 1kg 1000gr super grosir murah,16580.0,Terjual 40+,5.0
335,DEEVANA_CAHAYA,Bekasi,KERUPUK SEBLAK PEDAS GURIH MANTUL,5200.0,None,None
336,BociKakang,Jakarta Selatan,KERUPUK BAWANG ANEKA WARNA KRUPUK SEBLAK MENTAH WARNA WARNI,12500.0,Terjual 100+,4.7
337,baso aci masabi,Jakarta Selatan,"baso aci, bakso aci, cuanki, seblak instan, boci",8000.0,Terjual 2 rb+,4.8
338,Toko Ritel Indonesia,Sukabumi,Kerupuk Mawar Seblak Cocol (100gr)/Seblak Rafael Kerupuk Mawar Mentah,4990.0,Terjual 100+,4.9
339,gaiagarut,Kab. Garut,"Toping Seblak Baso Aci PAKET MIX 150pcs Cuanki Lidah, Siomay dan Baso",37400.0,Terjual 250+,4.8
340,BociKakang,Jakarta Selatan,KERUPUK BAWANG WARNA MERAH KRUPUK SEBLAK MENTAH,11500.0,Terjual 60+,5.0
341,G Cakery,Jakarta Pusat,KERUPUK SEBLAK SEBRING PEDAS - 250 GRAM,22050.0,Terjual 50+,5.0
342,Cuanki_Bandung,Kab. Bandung,Kerupuk Seblak Mentah 1kg - Krupuk Oren Matahari Pagi MP - Kemplang,16000.0,Terjual 100+,4.9
343,Celikafood,Bandung,Mie Golosor Kuning 500gr Mi Basah Noodles Seblak,6500.0,Terjual 30+,5.0
344,Distributor Cuanki dan Seblak,Kab. Bekasi,Cipet somay kering segitiga isi 20 pcs toping seblak baso Aci cuanki,6999.0,Terjual 100+,4.8
345,Madinah Oleh Oleh Bdg,Bandung,KERUPUK SEBLAK KERITING CABE MERAH SUPER PEDES 250 GRAM,18000.0,Terjual 100+,4.9
346,Ladjangfood,Bandung,seblak instan varian mie tanpa tulang,10000.0,None,None
347,toko-jayabaru,Kab. Tangerang,"Kerupuk Mentah Seblak 500gr - PutihBiBirMerah, 500 gram",12000.0,Terjual 20,5.0
348,Foodstocks,Jakarta Selatan,Soun Seblak Geprek SAMI RAOS Khas Garut - Soun Seblak,19500.0,Terjual 27,4.7
349,Warung Kekinian 16,Jakarta Utara,PROMO MURAH PAKET 10 BUNGKUS SEBLAK KOMPLIT BESAR PEDAS MANTUL ENAK,60000.0,None,None
350,Seblak Alipbata,Tangerang,7 pack seblak instant CARLA khas bandung,90000.0,Terjual 3,5.0
351,Maya Light Electro,Tangerang,Bakso Aci Seblak Mie instant baso kekinian halal murah enak,7500.0,Terjual 18,4.5
352,RZTSHOP86,Bandung,Paket Seblak Original Bandung - Baso Aci,8500.0,Terjual 100+,4.9
353,Djuragan Kerupuk,Surabaya,Termurah Kerupuk Mentah-Kerupuk Seblak-Kerupuk Puli,6000.0,Terjual 40+,5.0
354,Gerai Snack Official Shop,Kab. Tangerang,Mie Seblak Geprek Sami Raos Khas Garut Seblak Instant Kekinian 160gr,18700.0,Terjual 100+,4.8
355,jajanan masabi,Jakarta Selatan,"baso aci masabi ( boci, tulang rangu, cuanki, seblak, bapper)",7500.0,Terjual 50+,5.0
356,rendy store snack,Tangerang Selatan,seblak ceker pedas (Snack Cemilan) . Seblak Ceker Snack Makanan Ringan,12000.0,Terjual 100+,4.9
357,Berkah Food Bandung,Cimahi,Seblak Instan Kenyang Murah Asli Bandung Reseller Tanpa Pengawet,6173.0,Terjual 6 rb+,4.9
358,Celikafood,Bandung,Kerupuk Orange 250 gr Krupuk Sumber Sari Seblak Sumbersari Oren Merah,6500.0,Terjual 100+,4.9
359,Hypermart Puri Indah,Jakarta Barat,INDOMIE MIE KUAH INSTANT RASA SEBLAK HOT JELETOT 75 GR,2980.0,Terjual 250+,5.0
360,Snackzone PP,Jakarta Pusat,Kerupuk Seblak Pedas Mini,18000.0,Terjual 25,5.0
361,Freshgo Indonesia,Bandung,Seblak Kering Guyam Gayem Fresh Go,12000.0,Terjual 1,None
362,steviag91,Tangerang Selatan,SEBLAK MANG JOJO,24000.0,Terjual 100+,5.0
363,Djuragan Kerupuk,Surabaya,Kerupuk Tersanjung-Kerupuk Seblak-Kerupuk Mentah,13500.0,Terjual 7,5.0
364,CUANKI CULAMETAN,Kab. Garut,cuanki tahu kering seblak isi 50 pcs toping seblak baso aci,12500.0,Terjual 250+,4.9
365,Adila_Putri_Snack,Kab.Ciamis,kerupuk seblak pedas 1/4 kg / kerupuk seblak ¼,12900.0,Terjual 80+,4.7
366,SERBA_CAMOSPORT,Kab. Bandung,Seblak Kering Gahoel/gaul Bandung,20000.0,Terjual 23,5.0
367,Anggris store,Kab. Bogor,Kerupuk Seblak / Seblak / Kering Pedas /,10000.0,Terjual 40+,4.8
368,aghniya,Tangerang Selatan,SEBLAK INSTAN special bumbu kencur rasa lezat,5999.0,Terjual 2 rb+,4.8
369,cemilan instan purwakarta,Kab. Purwakarta,seblak instan purwakarta,4500.0,Terjual 750+,4.9
370,tantaz_Snack,Tangerang Selatan,Kerupuk Seblak Bantet 100 gram-Tantaz Snack,6500.0,Terjual 60+,5.0
371,Allsnackbandung,Bandung,Kerupuk Seblak bumbu kacang,15000.0,Terjual 100+,5.0
372,toko-jayabaru,Kab. Tangerang,Kerupuk Mentah Seblak 500gr,12000.0,Terjual 20,5.0
373,AUFARO SNACK,Kab. Bandung Barat,KERUPUK SEBLAK KENCUR MAWAR / SEBLAK KRIWUL PEDAS MURAH,8000.0,Terjual 29,5.0
374,Toko kue Sumber Mas,Jakarta Timur,KERUPUK / KRUPUK SEBLAK RASA PEDAS / TERLARIS / KILOAN 500 GR,31164.0,Terjual 100+,4.8
375,Distributor-Jaya,Tangerang,Kerupuk Bawang Orange Dan Putih 1kg 1kilo Cocok Untuk Seblak Nasi Uduk,20000.0,Terjual 100+,5.0
376,seblak bandung99,Kab. Bandung,seblak basreng pedas original exstra daun jeruk 500gram,25000.0,Terjual 2 rb+,4.8
377,Aneka Sayuran Segar,Jakarta Utara,TERMURAH Kerupuk Bawang Buat Seblak Size Mini (Mentah),8500.0,Terjual 40+,5.0
378,Snackzone PP,Jakarta Pusat,Baso urat djuara sami raos/Baso Aci Urat /Seblak,25000.0,Terjual 7,5.0
379,My snack910,Jakarta Selatan,Kerupuk Jablay Bantet Seblak Kering Kencur UK 250gr,9500.0,Terjual 30+,5.0
380,Ekosistem Halal,Depok,kerupuk bawang spesial seblak nasi uduk 1/2kg 500gr grosir murah,9866.0,Terjual 29,4.9
381,atwshop,Jakarta Selatan,kerupuk seblak pedas 1 bungkus,10900.0,Terjual 10,5.0
382,Menu Ama,Tangerang Selatan,Kerupuk Seblak,17000.0,Terjual 100+,4.9
383,Lidigeli,Kab. Garut,MASJAY Seblak Bumbu Membara Instant - No.1 Street Food Bandung,15000.0,Terjual 70+,5.0
384,Official Snack Murah Batam,Batam,Seblak Basreng,6000.0,Terjual 100+,4.6
385,BaroqahSnack,Jakarta Barat,Seblak Kencur /Kerupuk Seblak Kencur Pedas,11000.0,Terjual 50+,4.9
386,Suncity.,Tangerang,baso aci / seblak instan/ batagor kuah milanial,5999.0,Terjual 2 rb+,4.9
387,lahawelah,Kab. Garut,1kg GURILEM Siomay Mini bahan Pelengkap Boci seblak dan cuanki,27140.0,Terjual 750+,4.9
388,DEVAN MUKENAH DEWASA,Jakarta Selatan,JSR Snack Baso Aci Seblak Basreng (PAKET BUNDLING A),30000.0,Terjual 28,5.0
389,Tsamara Ol Shopp,Kab. Bekasi,seblak soaci tulang rangu,18500.0,Terjual 12,5.0
390,Ohayo Bento New,Jakarta Timur,Seblak Instan KSN,10000.0,Terjual 10,4.0
391,aghniya,Tangerang Selatan,aneka kerupuk mix untuk bahan seblak 500 gr,14999.0,Terjual 100+,5.0
392,Distributor Cuanki dan Seblak,Kab. Bekasi,Somay mini Gurilem batagor mini toping seblak baso Aci cuanki 500 gr,13999.0,Terjual 100+,5.0
393,RN FROZEN FOOD,Jakarta Selatan,Seblak Instan,10500.0,Terjual 50+,4.9
394,Agen bawang goreng mas YO,Kab. Bogor,Kerupuk indosari gado gado dan seblak,18900.0,Terjual 90+,4.9
395,SuperSnacksShop,Kab. Bandung,KRUPUK / KERUPUK MENTAH / KERUPUK SEBLAK MENTAH 200gr MAWAR WARNA,5000.0,Terjual 100+,4.9
396,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,SEBLAK JUMBO + SOSIS INSTANT,5800.0,Terjual 1 rb+,4.8
397,U Mart Indonesia,Jakarta Selatan,U Mart - Kerupuk Merah Gado Gado/Bubur Ayam 1 kg Krupuk Orange Seblak,19000.0,Terjual 70+,4.9
398,Foodshopindonesia,Jakarta Barat,Seblak Kencur 200g Makanan ringan Snack Cemilan oleh-oleh termurah,11000.0,Terjual 90+,5.0
399,aghniya,Tangerang Selatan,"keripik beling/kaca 1/2 kg. bumbu seblak daun jeruk enak, gurih, pedas",25999.0,Terjual 250+,4.9
400,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,CUANKIE SIOMAY ISI 50 TOPPING BASO ACI / SEBLAK,16000.0,Terjual 11,5.0
401,vieka mart official,Tangerang Selatan,Seblak Instant Nagih | Seblak + Baso Aci Jajanan Milenial,10296.0,Terjual 7,4.0
402,DEVAN MUKENAH DEWASA,Jakarta Selatan,JSR Snack Rabokki Seblak Baso Aci (PAKET BUNDLING D),32000.0,Terjual 12,5.0
403,seblak bandung99,Kab. Bandung,Ready seblak basreng pedas daun jeruk 1kg basreng bandung renyah gurih,50000.0,Terjual 750+,4.9
404,Oranic,Kab. Bandung,Kerupuk Seblak Viral Rafael 250g,6000.0,Terjual 14,5.0
405,AMANA SNACK,Tangerang Selatan,Marenta Seblak Instan,14590.0,Terjual 100+,5.0
406,indieshop786,Kab. Garut,Seblak Instant Pusaka Parahyangan [85gr],15000.0,None,None
407,CuankiCulametan,Kab. Garut,cuanki tahu pasung isi 50 murah batagor kering toping seblak baso aci,12000.0,Terjual 100+,4.9
408,Seblak Alipbata,Tangerang,5 Pack Seblak Instant Lala Khas Bandung,60000.0,Terjual 2,5.0
409,Snackzone PP,Jakarta Pusat,Kerupuk Seblak Pedas / Kerupuk Seblak Merah,18000.0,Terjual 16,3.5
410,oke snack,Jakarta Selatan,Kerupuk Seblak Jeruk,14000.0,Terjual 100+,4.9
411,the Dhecip,Tangerang Selatan,Seblak Instan Pedas Home Made,3500.0,Terjual 1 rb+,4.8
412,hikmah berkah jaya,Jakarta Barat,seblak instant sajodo snak,19000.0,Terjual 750+,4.8
413,emmoshop,Kab. Bogor,Mommy Seblak Basah Instant 100gr,10000.0,Terjual 2 rb+,4.9
414,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,SEBLAK INSTANT TERMURAH,3999.0,Terjual 10 rb+,4.8
415,Berkahrr,Bekasi,seblak mamang Rafael versi kering,12000.0,Terjual 10,None
416,Anggris store,Kab. Bogor,Kerupuk Seblak / Seblak / Kering Pedas /,10000.0,Terjual 40+,4.8
417,Agen Snack Murah,Jakarta Barat,KRUPUK JABLAY PEDAS 500Gram/KRUPUK SEBLAK/SEBLAK KERING/SNACK KILOAN,22999.0,Terjual 40+,4.9
418,BociKakang,Jakarta Selatan,SEBLAK KERING PEDAS DAUN JERUK,4500.0,Terjual 500+,4.6
419,yumnaa snack,Kab. Bekasi,kerupuk seblak kencur / kerupuk seblak kering - 250gram,12000.0,Terjual 30+,4.9
420,the Dhecip,Tangerang Selatan,Seblak Instan Pedas Home Made,3500.0,Terjual 1 rb+,4.8
421,hikmah berkah jaya,Jakarta Barat,seblak instant sajodo snak,19000.0,Terjual 750+,4.8
